Entre Ríos,Estatal,Rural,LA PAZ,30070,COLONIA SAN CARLOS,30070052,3001467,300146700,MANUEL ANTEQUEDA AGROTECNICA 15, COLONIA SAN CARLOS -BOVRIL,E3142,03438,421766,GUILLERMOA03@YAHOO.COM.AR,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Entre Ríos,Estatal,Rural,LA PAZ,30070,ALCARAZ PRIMERO,30070003,3001468,300146800,MADRE PATRIA 51, COLONIA BERTOZZI,E3137,0,0,escuelamadrepatriabertozzi@yahoo.com.ar,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Entre Ríos,Estatal,Rural,LA PAZ,30070,ALCARAZ PRIMERO,30070003,3001469,300146900,SOLDADO ENTRERRIANO 106, PARAJE LOS TALAS-ALCARAZ 1`,E3137,0,0,sebas.willam@gmail.com,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Entre Ríos,Estatal,Urbano,PARANA,30084,PARANA,30084041,3001470,300147000,ESCUELA SECUNDARIA ARTURO JAURETCHE 21,SAN MARTIN 1271,E3100,0343,4232609,sec21jauretche@hotmail.com,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Entre Ríos,Privado,Urbano,PARANA,30084,PARANA,30084041,3001471,300147100,PRIV. LA SALLE,SANTA FE 474 PARQUE ,E3100,0343,4311006,secresec@lasalleparana.edu.ar,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Entre Ríos,Estatal,Urbano,PARANA,30084,PARANA,30084041,3001472,300147200,ESCUELA SECUNDARIA PAULA ALBARRACIN DE SARMIENTO 38,TOSCANINI 64,E3100,0343-,4312893,liceopaula@yahoo.com,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Entre Ríos,Estatal,Rural,URUGUAY,30098,HERRERA,30098025,3001473,300147300,ALBERTO LARROQUE 21,LUIS SIGNE 377,E3272,,,ALBERTOLARROQUHERRERA@HOTMAIL.COM,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Entre Ríos,Estatal,Rural,URUGUAY,30098,HERRERA,30098025,3001474,300147400,ESCUELA SECUNDARIA GENERAL MANUEL BELGRANO 2,DR. STILMAN 718,E3272,03442,494161,manuelbelgrano27@yahoo.com.ar,1,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
Entre Ríos,Estatal,Rural,URUGUAY,30098,COLONIA LUCIENVILLE,30098046,3001476,300147600,BARON MAURICIO HIRSCH 97, COLONIA LUCIENVILLE N° 7 DTO.GENACITO,E3170,03445,481225,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Entre Ríos,Estatal,Rural,URUGUAY,30098,VILLA MANTERO,30098038,3001477,300147700,CENTRO COMUNITARIO ROSENDO BELISARIO VILCHEZ 9, FORM. PROF 25 DE MAYO ,E3272,0,0,centro9mantero@hotmail.com.ar,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
Entre Ríos,Estatal,Urbano,URUGUAY,30098,BASAVILBASO,30098003,3001478,300147800,JOSE BENJAMIN ZUBIAUR TECNICA 79,SAENZ PEÑA 851 TANQUE ,E3170,03445,481185,escuelatec79@hotmail.es,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Entre Ríos,Estatal,Urbano,URUGUAY,30098,BASAVILBASO,30098003,3001479,300147900,MATIAS ZAPIOLA 9,HERMINIO QUIROS 439 CENTRO ,E3170,03445-,481356,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Entre Ríos,Estatal,Urbano,URUGUAY,30098,BASAVILBASO,30098003,3001480,300148000,PABLO PIZZURNO NOCT. 59,SUEYRO 450 PUEBLO NUEVO ,E3170,,,ELSAGUSPERO@HOTMAIL.COM,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Entre Ríos,Estatal,Urbano,PARANA,30084,PARANA,30084041,3001481,300148100,ALTE. GUILLERMO BROWN TECNICA 2,RONDEAU 647,E3100,0343,4240901,eet2.pna@gmail.com,1,,1,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,
Entre Ríos,Estatal,Urbano,PARANA,30084,PARANA,30084041,3001482,300148200,GENERAL FRANCISCO RAMIREZ TECNICA 1,MARTIN ZAPATA 1053 TIRO FEDERAL ,E3100,0343,4241736,www.eet1parana@arnet.com.ar,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Entre Ríos,Estatal,Urbano,TALA,30091,ROSARIO DEL TALA,30091022,3001483,300148300,ESCUELA SECUNDARIA Y SUPERIOR DR. JULIO OSSOLA 4,URQUIZA 144,E3174,03445,421836,ossola778@yahoo.com.ar,1,,1,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,
Entre Ríos,Estatal,Urbano,VILLAGUAY,30113,VILLA CLARA,30113040,3001485,300148500,ESCUELA SECUNDARIA DR. DELIO PANIZZA 2,NOGOYA Y TRATADO DEL PILAR ,E3252,0,0,,1,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
Entre Ríos,Estatal,Rural,VILLAGUAY,30113,COLONIA ADIVINO N°2,30113001,3001486,300148600,25 DE MAYO 21, ESTAFETA LOS OMBUES MOJONES NORTE,E3241,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Entre Ríos,Estatal,Rural,VILLAGUAY,30113,DISTRITO RAICES,30113046,3001487,300148700,CABILDO ABIERTO 74, RAICES ESTE,E3240,0,0,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Entre Ríos,Estatal,Rural,VILLAGUAY,30113,RAICES OESTE,30113036,3001488,300148800,PROVINCIA DE SAN JUAN 32,RUTA NACIONAL 18 KM. ,E3240,0,0,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
