Ciudad de Buenos Aires,Estatal,Urbano,Comuna 14,02114,CIUDAD DE BUENOS AIRES,02114001,0202308,020230800,JARDIN MATERNAL N° 08 DE 09,BONPLAND 1324 PALERMO ,C1414,011,4772-8769,dei_jm8_de9@bue.edu.ar,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,;
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 13,02113,CIUDAD DE BUENOS AIRES,02113001,0202309,020230900,JIC N° 09 DE 09,MOLDES 1220 COLEGIALES ,C1426,011,4785-9629,dei_jic9_de9@bue.edu.ar,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,;
Ciudad de Buenos Aires,Privado,Urbano,Comuna 1,02101,CIUDAD DE BUENOS AIRES,02101001,0202324,020232400,INST. DE MEDIOS AVANZADOS GRAFICOS Y ELECTRONICOS,SALTA 239 MONTSERRAT SALTA 231,C1074,011,4383-2244,INFO@IMAGECAMPUS.COM.AR,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,;
Ciudad de Buenos Aires,Privado,Urbano,Comuna 3,02103,CIUDAD DE BUENOS AIRES,02103001,0202327,020232700,INST. SUPERIOR DE EDUC. PARA LA SALUD Y DERECHO,RIOBAMBA 650 BALVANERA ,C1025,011,4373-6633,instsupeducsalyder@gmail.com,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,;
Ciudad de Buenos Aires,Privado,Urbano,Comuna 1,02101,CIUDAD DE BUENOS AIRES,02101001,0202328,020232800,ESC.ARG.DE DISEÑO ESPACIOS VERDES Y DE INTERIORES,AVDA. DE MAYO 666 MONTSERRAT 676 PISO 5º A,C1084,011,4331-5511/4321,CONTACTO@EAD.EDU.AR,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,;
Ciudad de Buenos Aires,Privado,Urbano,Comuna 2,02102,CIUDAD DE BUENOS AIRES,02102001,0202329,020232900,TIERRA FERTIL,ARENALES 2918 RECOLETA ,C1425,011,4826-6598,info@jardinfallowland.com.ar,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,;
Ciudad de Buenos Aires,Privado,Urbano,Comuna 5,02105,CIUDAD DE BUENOS AIRES,02105001,0202330,020233000,INST. SUP. DE MUSICA POPULAR DE SADEM,AVDA. BELGRANO 3655 ALMAGRO ,C1210,011,4956-0673,INFO@EPM.EDU,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,;
Ciudad de Buenos Aires,Privado,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,0202331,020233100,INSTITUTO ALFREDO PALACIOS,SUAREZ 1301 BARRACAS ,C1288,011,4301-2586/4004,institutoapalacios@gmail.com,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,;
Ciudad de Buenos Aires,Privado,Urbano,Comuna 5,02105,CIUDAD DE BUENOS AIRES,02105001,0202333,020233300,FX PRIMERA ESC. ARG. DE EFECTOS ESPECIALES,AVDA. ESTADO DE ISRAEL 4126 ALMAGRO ,C1185,011,4867-0221,RECTORIA@FX.COM.AR,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,;
Ciudad de Buenos Aires,Privado,Urbano,Comuna 6,02106,CIUDAD DE BUENOS AIRES,02106001,0202334,020233400,MUNDO ECOLOGICO,VALLE 584 CABALLITO ,C1424,011,4922-9301,ECOLOGY1994@GMAIL.COM,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,;
